symbol,name,title,trackable_at,maximum_supply,rejected_at,platform
ADA,cardano,Cardano,2017-10-03,45000000000.0,,
AE,aeternity,Aeternity,2017-09-09,273685830.0,,ethereum
AMP,synereo,Synereo,2015-12-16,927786732.7,,omni
BCC,bitconnect,BitConnect,2017-01-20,28000000.0,2017-09-03,
BCH,bitcoin-cash,Bitcoin Cash,2017-08-02,20983434.0,,
BCN,bytecoin,Bytecoin,2014-06-17,184470000000.0,,
BNB,binance-coin,Binance Coin,2017-07-25,200000000.0,,ethereum
BTC,bitcoin,Bitcoin,2013-04-28,20983495.0,,
BTG,bitcoin-gold,Bitcoin Gold,2017-11-26,20883703.0,,
BTM,bytom,Bytom,2017-08-09,2100000000.0,,ethereum
BTS,bitshares,BitShares,2014-07-21,3600570502.0,,
DAO,dao,The DAO,2016-05-30,1172775159,2016-07-30,
DASH,dash,Dash,2014-02-14,18900000.0,,
DCR,decred,Decred,2016-02-23,21000000.0,,
DGB,digibyte,DigiByte,2014-02-06,21000000000.0,,
DGD,digixdao,DigixDAO,2016-05-05,5000000.0,,ethereum
DOGE,dogecoin,Dogecoin,2013-12-15,280853172058.0,,
EMC,emercoin,Emercoin,2014-08-23,1000000000.0,,
EOS,eos,EOS,2017-07-04,1459985241.0,,ethereum
ETC,ethereum-classic,Ethereum Classic,2016-07-25,230000000.0,,
ETH,ethereum,Ethereum,2015-08-08,146975853.0,,
FCT,factom,Factom,2015-10-07,9000000,,
GNT,golem,Golem,2016-11-30,1000000000,,ethereum
ICN,iconomi,Iconomi,2016-10-26,100000000.0,,ethereum
ICX,icon,ICON,2017-12-26,800460000.0,,ethereum
LSK,lisk,Lisk,2016-05-26,234327047.0,,
LTC,litecoin,Litecoin,2013-04-28,83883478.0,,
MAID,maidsafecoin,MaidSafeCoin,2014-04-28,4300000000.0,,omni
MIOTA,iota,IOTA,2017-06-13,2779530283.0,,
NANO,nano,Nano,2017-03-08,133248290.0,,
NEO,neo,NEO,2016-10-26,100000000.0,,
NMC,namecoin,Namecoin,2013-04-28,21000000.0,,
NXT,nxt,Nxt,2013-12-04,1000000000.0,,
OMG,omisego,OmiseGO,2017-07-16,140245398.0,,ethereum
ONT,ontology,Ontology,2018-03-17,1000000000.0,,neo
PIVX,pivx,PIVX,2016-02-14,139167772.0,,
PPC,peercoin,Peercoin,2013-04-28,50000000,,
PPT,populous,Populous,2017-07-15,53252246.0,,ethereum
QTUM,qtum,Qtum,2017-07-13,100000000.0,,
REP,augur,Augur,2016-10-06,11000000.0,,ethereum
ROUND,round,Round,2016-11-21,1000000000.0,2017-09-10,
SC,siacoin,Siacoin,2015-08-31,90979635000.0,,
STEEM,steem,Steem,2016-04-18,676424359.0,,
STRAT,stratis,Stratis,2016-08-13,115526495.0,,
TIPS,fedoracoin,FedoraCoin,2013-12-31,,2018-01-01,
TRX,tron,TRON,2017-09-29,100000000000.0,,ethereum
USDT,tether,Tether,2015-02-25,,2015-02-25,omni
VEN,vechain-erc-20,VeChain,2017-10-03,867162634.0,2018-08-03,ethereum
VERI,veritaseum,Veritaseum,2017-06-17,,,ethereum
VET,vechain,VeChain,2018-08-03,86712634466.0,,
WAN,wanchain,Wanchain,2018-04-10,210000000.0,,
WAVES,waves,Waves,2016-06-21,100000000.0,,
XEM,nem,NEM,2015-04-01,8999999999.0,,
XLM,stellar,Stellar,2014-08-05,142640899401.0,,
XMR,monero,Monero,2014-05-21,22482673.0,,
XVG,verge,Verge,2014-10-25,16500000000.0,,
XRP,ripple,Ripple,2013-08-04,100000000000.0,,
YBC,ybcoin,YbCoin,2014-01-16,200000000.0,2017-09-10,
ZEC,zcash,Zcash,2016-10-29,20805385.0,,
ZIL,zilliqa,Zilliqa,2018-02-01,21000000000.0,,ethereum
ZRX,0x,0x,2017-08-16,1000000000.0,,ethereum
